Date,H Date,Fajr Azan,Fajr Iqama,Shuruq,Zawal,Zohr Azan,Zohr Iqamah,Asr Azan,Asr Iqama,Maghrib Azan,Isah Azan,Isha Iqama,Jumah Khutbah,Jumah
Jan01,,06:39,06:59,08:50,12:30,12:39,12:49,02:11,02:21,04:27,06:30,07:00,12:30,01:00
Jan02,,06:39,06:59,08:50,12:30,12:40,12:50,02:12,02:22,04:28,06:31,07:00,12:30,01:00
Jan03,,06:39,06:59,08:50,12:30,12:40,12:50,02:13,02:23,04:29,06:32,07:00,12:30,01:00
Jan04,,06:39,06:59,08:49,12:30,12:40,12:50,02:14,02:24,04:31,06:33,07:00,12:30,01:00
Jan05,,06:39,06:59,08:49,12:30,12:41,12:51,02:15,02:25,04:32,06:34,07:00,12:30,01:00
Jan06,,06:39,06:59,08:48,12:30,12:41,12:51,02:16,02:26,04:33,06:35,07:00,12:30,01:00
Jan07,,06:38,06:58,08:48,12:30,12:42,12:52,02:17,02:27,04:34,06:36,07:00,12:30,01:00
Jan08,,06:38,06:58,08:47,12:30,12:42,12:52,02:18,02:28,04:36,06:37,07:00,12:30,01:00
Jan09,,06:38,06:58,08:47,12:30,12:43,12:53,02:19,02:29,04:37,06:38,07:00,12:30,01:00
Jan10,,06:37,06:57,08:46,12:30,12:43,12:53,02:20,02:30,04:39,06:39,07:00,12:30,01:00
Jan11,,06:37,06:57,08:45,12:30,12:43,12:53,02:22,02:32,04:40,06:41,07:00,12:30,01:00
Jan12,,06:37,06:57,08:45,12:30,12:44,12:54,02:23,02:33,04:42,06:42,07:00,12:30,01:00
Jan13,,06:36,06:56,08:44,12:30,12:44,12:54,02:24,02:34,04:43,06:43,07:00,12:30,01:00
Jan14,,06:35,06:55,08:43,12:30,12:44,12:54,02:25,02:35,04:45,06:44,07:00,12:30,01:00
Jan15,,06:35,06:55,08:42,12:30,12:45,12:55,02:27,02:37,04:47,06:46,07:00,12:30,01:00
Jan16,,06:34,06:54,08:41,12:30,12:45,12:55,02:28,02:38,04:48,06:47,07:00,12:30,01:00
Jan17,,06:33,06:53,08:40,12:30,12:45,12:55,02:30,02:40,04:50,06:49,07:00,12:30,01:00
Jan18,,06:33,06:53,08:39,12:30,12:46,12:56,02:31,02:41,04:52,06:50,07:00,12:30,01:00
Jan19,,06:32,06:52,08:38,12:30,12:46,12:56,02:32,02:42,04:53,06:51,07:01,12:30,01:00
Jan20,,06:31,06:51,08:36,12:30,12:46,12:56,02:34,02:44,04:55,06:53,07:03,12:30,01:00
Jan21,,06:30,06:50,08:35,12:30,12:47,12:57,02:35,02:45,04:57,06:54,07:04,12:30,01:00
Jan22,,06:29,06:49,08:34,12:30,12:47,12:57,02:37,02:47,04:59,06:56,07:06,12:30,01:00
Jan23,,06:28,06:48,08:33,12:30,12:47,12:57,02:38,02:48,05:01,06:57,07:07,12:30,01:00
Jan24,,06:27,06:47,08:31,12:30,12:47,12:57,02:40,02:50,05:03,06:59,07:09,12:30,01:00
Jan25,,06:26,06:46,08:30,12:30,12:48,12:58,02:41,02:51,05:04,07:00,07:10,12:30,01:00
Jan26,,06:25,06:45,08:28,12:30,12:48,12:58,02:43,02:53,05:06,07:02,07:12,12:30,01:00
Jan27,,06:24,06:44,08:27,12:30,12:48,12:58,02:44,02:54,05:08,07:04,07:14,12:30,01:00
Jan28,,06:23,06:43,08:26,12:30,12:48,12:58,02:46,02:56,05:10,07:05,07:15,12:30,01:00
Jan29,,06:22,06:42,08:24,12:30,12:49,12:59,02:47,02:57,05:12,07:07,07:17,12:30,01:00
Jan30,,06:20,06:40,08:22,12:30,12:49,12:59,02:49,02:59,05:14,07:08,07:18,12:30,01:00
